!time	FLOW	TEMP
2019-06-29 00:00:00	0.0128089	24.807
2019-06-30 00:00:00	0.013586	24.9288
2019-07-01 00:00:00	0.013263	25.2106
2019-07-02 00:00:00	0.0177014	25.3664
2019-07-03 00:00:00	0.023979	25.2974
2019-07-04 00:00:00	0.0240098	25.2466
2019-07-05 00:00:00	0.0191739	25.1798
2019-07-06 00:00:00	0.0169706	25.0847
2019-07-07 00:00:00	0.0169392	25.0333
2019-07-08 00:00:00	0.0145307	24.9767
2019-07-09 00:00:00	0.0136371	24.92
2019-07-10 00:00:00	0.0159385	25.0651
2019-07-11 00:00:00	0.016412	25.2647
2019-07-12 00:00:00	0.0156877	25.5366
2019-07-13 00:00:00	0.0178483	25.7052
2019-07-14 00:00:00	0.01626	25.8599
2019-07-15 00:00:00	0.0132892	25.8805
2019-07-16 00:00:00	0.0132721	26.0514
2019-07-17 00:00:00	0.0133164	26.253
2019-07-18 00:00:00	0.0136338	26.4545
2019-07-19 00:00:00	0.01344	26.3965
2019-07-20 00:00:00	0.0124871	26.3612
2019-07-21 00:00:00	0.0124958	26.2106
2019-07-22 00:00:00	0.0137522	26.2956
2019-07-23 00:00:00	0.0150955	26.4164
2019-07-24 00:00:00	0.017737	26.4997
2019-07-25 00:00:00	0.0181631	26.6113
2019-07-26 00:00:00	0.014408	26.5195
2019-07-27 00:00:00	0.0148608	26.2454
2019-07-28 00:00:00	0.0171201	25.9735
2019-07-29 00:00:00	0.01508	25.7854
2019-07-30 00:00:00	0.0135359	25.5793
2019-07-31 00:00:00	0.0147624	25.3953
2019-08-01 00:00:00	0.0160717	25.2112
2019-08-02 00:00:00	0.0172429	25.0427
2019-08-03 00:00:00	0.0170689	25.0003
2019-08-04 00:00:00	0.0155122	24.9929
2019-08-05 00:00:00	0.0146182	24.9809
2019-08-06 00:00:00	0.0148393	24.9689
2019-08-07 00:00:00	0.0151554	24.9917
2019-08-08 00:00:00	0.0164224	25.0145
2019-08-09 00:00:00	0.0191946	25.288
2019-08-10 00:00:00	0.0193565	25.181
2019-08-11 00:00:00	0.0177187	25.2829
2019-08-12 00:00:00	0.0160065	25.4293
2019-08-13 00:00:00	0.0138865	25.3957
2019-08-14 00:00:00	0.0130442	25.6154
2019-08-15 00:00:00	0.0139493	25.7535
2019-08-16 00:00:00	0.0142598	25.8092
2019-08-17 00:00:00	0.0148745	25.7247
2019-08-18 00:00:00	0.0168401	25.6402
2019-08-19 00:00:00	0.0167479	25.4678
2019-08-20 00:00:00	0.0149334	25.4755
2019-08-21 00:00:00	0.0154048	25.3913
2019-08-22 00:00:00	0.0156268	25.1732
2019-08-23 00:00:00	0.0156409	24.9551
2019-08-24 00:00:00	0.0150616	24.9622
2019-08-25 00:00:00	0.0127096	25.1256
2019-08-26 00:00:00	0.0124545	25.3645
2019-08-27 00:00:00	0.0124866	25.3088
2019-08-28 00:00:00	0.012585	25.1683
2019-08-29 00:00:00	0.0135109	25.0349
2019-08-30 00:00:00	0.0137332	24.9015
2019-08-31 00:00:00	0.0143624	24.7682
2019-09-01 00:00:00	0.0163132	24.7608
2019-09-02 00:00:00	0.0161023	24.7533
2019-09-03 00:00:00	0.0138934	24.8778
2019-09-04 00:00:00	0.0138402	24.806
2019-09-05 00:00:00	0.0139979	24.4987
2019-09-06 00:00:00	0.0142265	24.1914
2019-09-07 00:00:00	0.0139626	23.8635
2019-09-08 00:00:00	0.0125192	23.5994
2019-09-09 00:00:00	0.0142319	23.3609
2019-09-10 00:00:00	0.0148713	23.0707
2019-09-11 00:00:00	0.0135577	22.9125
2019-09-12 00:00:00	0.016791	22.7542
2019-09-13 00:00:00	0.0174518	22.5959
2019-09-14 00:00:00	0.0135475	22.4377
2019-09-15 00:00:00	0.0135108	22.3459
2019-09-16 00:00:00	0.0155596	22.3015
2019-09-17 00:00:00	0.0182768	22.3055
2019-09-18 00:00:00	0.0163456	22.5451
2019-09-19 00:00:00	0.0136096	22.4953
2019-09-20 00:00:00	0.0145683	22.4455
2019-09-21 00:00:00	0.016899	22.3956
2019-09-22 00:00:00	0.0164677	22.1111
2019-09-23 00:00:00	0.0168238	21.8071
2019-09-24 00:00:00	0.0162259	21.5031
2019-09-25 00:00:00	0.0132943	21.4009
2019-09-26 00:00:00	0.0172491	21.3032
2019-09-27 00:00:00	0.0218742	21.2055
2019-09-28 00:00:00	0.021554	21.05
2019-09-29 00:00:00	0.0227679	20.9344
2019-09-30 00:00:00	0.0210032	20.8589
2019-10-01 00:00:00	0.0143911	20.8637
2019-10-02 00:00:00	0.0144904	20.9933
2019-10-03 00:00:00	0.0175042	21.0263
2019-10-04 00:00:00	0.0157182	21.0592
2019-10-05 00:00:00	0.0128404	21.0436
2019-10-06 00:00:00	0.0127024	20.7846
2019-10-07 00:00:00	0.0210873	20.7721
2019-10-08 00:00:00	0.0255403	20.5977
2019-10-09 00:00:00	0.0198774	20.0948
2019-10-10 00:00:00	0.01766	19.5919
2019-10-11 00:00:00	0.0215232	19.089
2019-10-12 00:00:00	0.0204808	18.6702
2019-10-13 00:00:00	0.0142058	18.2514
2019-10-14 00:00:00	0.014205	17.8326
2019-10-15 00:00:00	0.0156348	17.4461
2019-10-16 00:00:00	0.0144472	17.1365
2019-10-17 00:00:00	0.0128383	16.8766
2019-10-18 00:00:00	0.0126645	16.6167
2019-10-19 00:00:00	0.0123946	16.3567
2019-10-20 00:00:00	0.0124013	16.1439
2019-10-21 00:00:00	0.0125793	15.931
2019-10-22 00:00:00	0.0125726	15.7182
2019-10-23 00:00:00	0.0154366	15.5467
2019-10-24 00:00:00	0.0154366	15.347
2019-10-25 00:00:00	0.0123975	15.1474
2019-10-26 00:00:00	0.0139987	14.9478
2019-10-27 00:00:00	0.0165944	14.7481
2019-10-28 00:00:00	0.0176885	14.5485
2019-10-29 00:00:00	0.0160886	14.3488
2019-10-30 00:00:00	0.0134364	14.2122
2019-10-31 00:00:00	0.0127608	14.0897
2019-11-01 00:00:00	0.0134056	13.9672
2019-11-02 00:00:00	0.0141089	13.8446
2019-11-03 00:00:00	0.0134736	13.7331
2019-11-04 00:00:00	0.0130303	13.6215
2019-11-05 00:00:00	0.013105	13.4487
2019-11-06 00:00:00	0.0130338	13.2758
2019-11-07 00:00:00	0.0132703	13.0914
2019-11-08 00:00:00	0.0128419	12.7803
2019-11-09 00:00:00	0.0158391	12.4691
2019-11-10 00:00:00	0.0159138	12.1579
2019-11-11 00:00:00	0.0125526	11.8531
2019-11-12 00:00:00	0.0136566	11.5766
2019-11-13 00:00:00	0.0146773	11.3
2019-11-14 00:00:00	0.013424	11.0928
2019-11-15 00:00:00	0.015757	10.8856
2019-11-16 00:00:00	0.0160438	10.6784
2019-11-17 00:00:00	0.0143229	10.4712
2019-11-18 00:00:00	0.0151732	10.264
2019-11-19 00:00:00	0.0160369	10.0567
2019-11-20 00:00:00	0.014891	9.84792
2019-11-21 00:00:00	0.0123946	9.63796
2019-11-22 00:00:00	0.0123993	9.428
2019-11-23 00:00:00	0.0134317	9.21805
2019-11-24 00:00:00	0.0151214	9.00809
2019-11-25 00:00:00	0.0140969	8.79814
2019-11-26 00:00:00	0.0242964	8.58818
2019-11-27 00:00:00	0.0250547	8.37822
2019-11-28 00:00:00	0.0132233	8.16827
2019-11-29 00:00:00	0.0137235	7.95831
2019-11-30 00:00:00	0.0164507	7.74836
2019-12-01 00:00:00	0.0174905	7.5384
2019-12-02 00:00:00	0.0170783	7.32844
2019-12-03 00:00:00	0.0153065	7.15323
2019-12-04 00:00:00	0.013452	6.97801
2019-12-05 00:00:00	0.0132845	6.85834
2019-12-06 00:00:00	0.0168341	6.73867
2019-12-07 00:00:00	0.016783	6.64584
2019-12-08 00:00:00	0.0127892	6.59275
2019-12-09 00:00:00	0.0133809	6.53965
2019-12-10 00:00:00	0.016931	6.48656
2019-12-11 00:00:00	0.0162993	6.51533
2019-12-12 00:00:00	0.0131719	6.5441
2019-12-13 00:00:00	0.0132684	6.57287
2019-12-14 00:00:00	0.0166155	6.60165
2019-12-15 00:00:00	0.0205989	6.63042
2019-12-16 00:00:00	0.0171547	6.65919
2019-12-17 00:00:00	0.0153041	6.68796
2019-12-18 00:00:00	0.0152386	6.71822
2019-12-19 00:00:00	0.0130017	6.74848
2019-12-20 00:00:00	0.014027	6.77874
2019-12-21 00:00:00	0.0157081	6.809
2019-12-22 00:00:00	0.0156703	6.83926
2019-12-23 00:00:00	0.0172398	6.86952
2019-12-24 00:00:00	0.0189735	6.89978
2019-12-25 00:00:00	0.0158275	6.93005
2019-12-26 00:00:00	0.0128828	6.96031
2019-12-27 00:00:00	0.0125424	6.99057
2019-12-28 00:00:00	0.0156674	7.02083
2019-12-29 00:00:00	0.0186597	7.05109
2019-12-30 00:00:00	0.0157749	7.08135
2019-12-31 00:00:00	0.0128716	7.11161
2020-01-01 00:00:00	0.0124401	7.7778
2020-01-02 00:00:00	0.012814	7.82166
2020-01-03 00:00:00	0.0141215	7.86553
2020-01-04 00:00:00	0.0139642	7.9094
2020-01-05 00:00:00	0.0130813	7.95327
2020-01-06 00:00:00	0.012985	7.99714
2020-01-07 00:00:00	0.0125148	8.04101
2020-01-08 00:00:00	0.0128563	8.08487
2020-01-09 00:00:00	0.0140112	8.12874
2020-01-10 00:00:00	0.0173569	8.17261
2020-01-11 00:00:00	0.0188812	8.21648
2020-01-12 00:00:00	0.0184033	8.26035
2020-01-13 00:00:00	0.0178018	8.30421
