!time	FLOW
2019-08-02 00:00:00	-0.0413645
2019-08-03 00:00:00	-0.0405216
2019-08-04 00:00:00	-0.0386363
2019-08-05 00:00:00	-0.0405608
2019-08-06 00:00:00	-0.0396727
2019-08-07 00:00:00	-0.0399917
2019-08-08 00:00:00	-0.0415155
2019-08-09 00:00:00	-0.0445353
2019-08-10 00:00:00	-0.0443021
2019-08-11 00:00:00	-0.0444925
2019-08-12 00:00:00	-0.0444707
2019-08-13 00:00:00	-0.038548
2019-08-14 00:00:00	-0.0361241
2019-08-15 00:00:00	-0.0365187
2019-08-16 00:00:00	-0.0365885
2019-08-17 00:00:00	-0.0368428
2019-08-18 00:00:00	-0.0402728
2019-08-19 00:00:00	-0.0381384
2019-08-20 00:00:00	-0.0353495
2019-08-21 00:00:00	-0.0359461
2019-08-22 00:00:00	-0.0353012
2019-08-23 00:00:00	-0.0337143
2019-08-24 00:00:00	-0.0357956
2019-08-25 00:00:00	-0.0316346
2019-08-26 00:00:00	-0.0309051
2019-08-27 00:00:00	-0.0306307
2019-08-28 00:00:00	-0.0292374
2019-08-29 00:00:00	-0.0264678
2019-08-30 00:00:00	-0.026069
2019-08-31 00:00:00	-0.0263305
2019-09-01 00:00:00	-0.0283718
2019-09-02 00:00:00	-0.0274659
2019-09-03 00:00:00	-0.0251123
2019-09-04 00:00:00	-0.0257462
2019-09-05 00:00:00	-0.0260531
2019-09-06 00:00:00	-0.0260183
2019-09-07 00:00:00	-0.0253947
2019-09-08 00:00:00	-0.025736
2019-09-09 00:00:00	-0.0268606
2019-09-10 00:00:00	-0.0269554
2019-09-11 00:00:00	-0.0264465
2019-09-12 00:00:00	-0.0292802
2019-09-13 00:00:00	-0.0294153
2019-09-14 00:00:00	-0.0246455
2019-09-15 00:00:00	-0.0241703
2019-09-16 00:00:00	-0.0266253
2019-09-17 00:00:00	-0.0348481
2019-09-18 00:00:00	-0.0268449
2019-09-19 00:00:00	-0.0286551
2019-09-20 00:00:00	-0.0279204
2019-09-21 00:00:00	-0.0316176
2019-09-22 00:00:00	-0.0324209
2019-09-23 00:00:00	-0.0381217
2019-09-24 00:00:00	-0.0304054
2019-09-25 00:00:00	-0.0260112
2019-09-26 00:00:00	-0.0320425
2019-09-27 00:00:00	-0.0433687
2019-09-28 00:00:00	-0.0448238
2019-09-29 00:00:00	-0.0616547
2019-09-30 00:00:00	-0.061347
2019-10-01 00:00:00	-0.045149
2019-10-02 00:00:00	-0.0456638
2019-10-03 00:00:00	-0.0505189
2019-10-04 00:00:00	-0.0466273
2019-10-05 00:00:00	-0.0418923
2019-10-06 00:00:00	-0.0404307
2019-10-07 00:00:00	-0.0543061
2019-10-08 00:00:00	-0.0638967
2019-10-09 00:00:00	-0.0518469
2019-10-10 00:00:00	-0.0478206
2019-10-11 00:00:00	-0.066362
2019-10-12 00:00:00	-0.0640913
2019-10-13 00:00:00	-0.0544916
2019-10-14 00:00:00	-0.0539563
2019-10-15 00:00:00	-0.0592569
2019-10-16 00:00:00	-0.0566013
2019-10-17 00:00:00	-0.0534725
2019-10-18 00:00:00	-0.0517033
2019-10-19 00:00:00	-0.0503056
2019-10-20 00:00:00	-0.0473859
2019-10-21 00:00:00	-0.0454698
2019-10-22 00:00:00	-0.0430077
2019-10-23 00:00:00	-0.0439682
2019-10-24 00:00:00	-0.0415043
2019-10-25 00:00:00	-0.0371393
2019-10-26 00:00:00	-0.0388696
2019-10-27 00:00:00	-0.0450557
2019-10-28 00:00:00	-0.0504159
2019-10-29 00:00:00	-0.0457945
2019-10-30 00:00:00	-0.0414772
2019-10-31 00:00:00	-0.0415144
2019-11-01 00:00:00	-0.0423059
2019-11-02 00:00:00	-0.0420869
2019-11-03 00:00:00	-0.0411354
2019-11-04 00:00:00	-0.0395883
2019-11-05 00:00:00	-0.0390074
2019-11-06 00:00:00	-0.0385285
2019-11-07 00:00:00	-0.0383385
2019-11-08 00:00:00	-0.0373994
2019-11-09 00:00:00	-0.040925
2019-11-10 00:00:00	-0.044422
2019-11-11 00:00:00	-0.0394598
2019-11-12 00:00:00	-0.0405604
2019-11-13 00:00:00	-0.0431871
2019-11-14 00:00:00	-0.0399957
2019-11-15 00:00:00	-0.0448751
2019-11-16 00:00:00	-0.0465374
2019-11-17 00:00:00	-0.0423766
2019-11-18 00:00:00	-0.0427554
2019-11-19 00:00:00	-0.0493267
2019-11-20 00:00:00	-0.0465375
2019-11-21 00:00:00	-0.0411207
2019-11-22 00:00:00	-0.0391372
2019-11-23 00:00:00	-0.0393059
2019-11-24 00:00:00	-0.0431853
2019-11-25 00:00:00	-0.0411319
